,index,User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors,Fraud,trans_date_trans_time,Trans_hour,Day_of_week,MCC_Category,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,index,cc_num,val_for_agg,trans_date,hist_trans_60d,hist_trans_24h,hist_fraud_trans_24h,hist_fraud_trans_2h,hist_trans_avg_amt_60d
17,17,0,0,2008,10,15,6:22,115.03,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/10/15 6:22,6,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/15,17,3,0,0,49.55
18,18,0,0,2008,10,17,6:06,143.89,Swipe Transaction,-2.45178E+17,La Verne,CA,91750,5311,,No,2008/10/17 6:06,6,Friday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/17,18,4,0,0,53.18777778
19,19,0,0,2008,10,17,6:36,46.05,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,,No,2008/10/17 6:36,6,Friday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/17,18,1,0,0,53.18777778
20,20,0,0,2008,10,19,13:07,98,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/19 13:07,13,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/19,20,2,0,0,52.15090909
21,21,0,0,2008,10,19,13:18,-98,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/19 13:18,13,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/19,20,1,0,0,52.15090909
22,22,0,0,2008,10,19,13:24,55.12,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/19 13:24,13,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/19,20,2,0,0,52.15090909
23,23,0,0,2008,10,19,14:22,4.08,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/19 14:22,14,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/19,20,3,0,0,52.15090909
24,24,0,0,2008,10,20,6:00,116.59,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,,No,2008/10/20 6:00,6,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/20,24,4,0,0,50.27166667
25,25,0,0,2008,10,20,6:40,118.99,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No,2008/10/20 6:40,6,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/20,24,5,0,0,50.27166667
26,26,0,0,2008,10,23,9:46,80.98,Swipe Transaction,4.05526E+18,La Verne,CA,91750,7538,,No,2008/10/23 9:46,9,Thursday,Business Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/23,26,6,0,0,55.46538462
27,27,0,0,2008,10,27,6:32,37.55,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/10/27 6:32,6,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/27,27,1,0,0,56.41037037
28,28,0,0,2008,10,28,13:53,78.21,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,,No,2008/10/28 13:53,13,Tuesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/28,28,1,0,0,55.73678571
29,29,0,0,2008,10,28,20:16,59.37,Swipe Transaction,-1.60579E+18,La Verne,CA,91750,5812,,No,2008/10/28 20:16,20,Tuesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/28,28,1,0,0,55.73678571
30,30,0,0,2008,10,31,6:58,46.38,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,,No,2008/10/31 6:58,6,Friday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/31,30,2,0,0,56.607
31,31,0,0,2008,11,1,9:53,54.53,Swipe Transaction,-3.34594E+18,La Verne,CA,91750,7538,,No,2008/11/1 9:53,9,Saturday,Business Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/1,31,1,0,0,56.27709677
32,32,0,0,2008,11,2,6:11,161.88,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/11/2 6:11,6,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/2,32,1,0,0,56.2225
33,33,0,0,2008,11,2,7:41,52.13,Swipe Transaction,5.4451E+18,La Verne,CA,91750,5193,,No,2008/11/2 7:41,7,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/2,32,2,0,0,56.2225
34,34,0,0,2008,11,2,13:28,11.62,Swipe Transaction,-5.0235E+18,Mira Loma,CA,91752,5812,,No,2008/11/2 13:28,13,Sunday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/2,32,3,0,0,56.2225
35,35,0,0,2008,11,5,6:11,141.42,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/11/5 6:11,6,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/5,35,3,0,0,57.85
36,36,0,0,2008,11,6,11:54,39.49,Swipe Transaction,-2.45178E+17,La Verne,CA,91750,5311,,No,2008/11/6 11:54,11,Thursday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/6,36,1,0,0,60.17138889
37,37,0,0,2008,11,10,5:13,127.83,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/11/10 5:13,5,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/10,37,1,0,0,59.61243243
38,38,0,0,2008,11,11,6:16,77.13,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/11/11 6:16,6,Tuesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/11,38,1,0,0,61.40763158
39,39,0,0,2008,11,11,20:26,92.4,Swipe Transaction,-1.60579E+18,La Verne,CA,91750,5812,,No,2008/11/11 20:26,20,Tuesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/11,38,1,0,0,61.40763158
40,40,0,0,2008,11,16,6:49,36.79,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,,No,2008/11/16 6:49,6,Sunday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/16,40,2,0,0,62.5755
41,41,0,0,2008,11,17,6:53,36.96,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/11/17 6:53,6,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/17,41,1,0,0,61.94658537
42,42,0,0,2008,11,18,6:39,133.45,Swipe Transaction,-2.45178E+17,La Verne,CA,91750,5311,,No,2008/11/18 6:39,6,Tuesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/18,42,1,0,0,61.35166667
43,43,0,0,2008,11,22,12:02,19.8,Swipe Transaction,-2.45178E+17,La Verne,CA,91750,5311,,No,2008/11/22 12:02,12,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/22,43,2,0,0,63.02837209
44,44,0,0,2008,11,24,6:52,35.23,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,,No,2008/11/24 6:52,6,Monday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/24,44,1,0,0,62.04590909
45,45,0,0,2008,11,25,6:55,36.02,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,,No,2008/11/25 6:55,6,Tuesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/25,45,1,0,0,61.45
46,46,0,0,2008,11,26,6:22,148.95,Swipe Transaction,1.91348E+18,La Verne,CA,91750,5300,,No,2008/11/26 6:22,6,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/26,46,1,0,0,60.89717391
47,47,0,0,2008,11,28,6:30,43.37,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,"Bad PIN,",No,2008/11/28 6:30,6,Friday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/28,47,2,0,0,62.36645833
48,48,0,0,2008,11,28,19:24,16.11,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,,No,2008/11/28 19:24,19,Friday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/28,47,1,0,0,62.36645833
49,49,0,0,2008,11,29,6:27,128.87,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,,No,2008/11/29 6:27,6,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/29,49,2,0,0,61.42244898
50,50,0,0,2008,11,30,20:16,84.39,Swipe Transaction,-6.44569E+18,Rancho Cucamonga,CA,91701,5812,,No,2008/11/30 20:16,20,Sunday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/30,50,3,0,0,62.7714
51,51,0,0,2008,11,30,21:59,147,Swipe Transaction,7.89762E+18,North Hollywood,CA,91615,7011,,No,2008/11/30 21:59,21,Sunday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/11/30,50,1,0,0,62.7714
52,52,0,2,2008,10,2,0:09,31.73,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/2 0:09,0,Thursday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/2,51,2,0,0,65.92509804
53,53,0,2,2008,10,4,19:58,78.93,Swipe Transaction,-5.0235E+18,Mira Loma,CA,91752,5812,,No,2008/10/4 19:58,19,Saturday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/4,1,1,0,0,31.73
54,54,0,2,2008,10,8,13:11,64.36,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/8 13:11,13,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/8,2,1,0,0,55.33
55,55,0,2,2008,10,8,13:23,64,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/8 13:23,13,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/8,2,2,0,0,55.33
56,55,0,2,2008,10,8,13:23,64,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/8 13:23,13,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/8,2,1,0,0,55.33
57,56,0,2,2008,10,8,13:23,-64,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/8 13:23,13,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/8,2,1,0,0,55.33
58,56,0,2,2008,10,8,13:23,-64,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/8 13:23,13,Wednesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/8,2,2,0,0,55.33
59,57,0,2,2008,10,10,5:38,105.73,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,,No,2008/10/10 5:38,5,Friday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/10,5,3,0,0,35.004
60,58,0,2,2008,10,10,6:04,82.14,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,,No,2008/10/10 6:04,6,Friday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/10,5,1,0,0,35.004
61,59,0,2,2008,10,10,6:17,121.89,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,"Insufficient Balance,",No,2008/10/10 6:17,6,Friday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/10,5,2,0,0,35.004
62,60,0,2,2008,10,11,6:19,121.03,Swipe Transaction,1.91348E+18,La Verne,CA,91750,5300,"Insufficient Balance,",No,2008/10/11 6:19,6,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/11,8,3,0,0,60.5975
63,61,0,2,2008,10,11,6:25,138.15,Swipe Transaction,1.91348E+18,La Verne,CA,91750,5300,,No,2008/10/11 6:25,6,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/11,8,1,0,0,60.5975
64,62,0,2,2008,10,11,13:56,71.1,Online Transaction,-7.42109E+18, ONLINE,,,5311,,No,2008/10/11 13:56,13,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/11,8,2,0,0,60.5975
65,63,0,2,2008,10,12,16:52,73.42,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,,No,2008/10/12 16:52,16,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/12,11,3,0,0,74.04
66,64,0,2,2008,10,12,16:54,107.7,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,"Insufficient Balance,",No,2008/10/12 16:54,16,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/12,11,1,0,0,74.04
67,65,0,2,2008,10,13,6:14,124.92,Swipe Transaction,1.91348E+18,La Verne,CA,91750,5300,,No,2008/10/13 6:14,6,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/13,13,2,0,0,76.62923077
68,66,0,2,2008,10,14,9:35,108.64,Swipe Transaction,7.94533E+18,La Verne,CA,91750,4900,,No,2008/10/14 9:35,9,Tuesday,Utility Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/14,14,3,0,0,80.07857143
69,67,0,2,2008,10,15,20:06,82.22,Swipe Transaction,-5.0235E+18,Mira Loma,CA,91752,5812,,No,2008/10/15 20:06,20,Wednesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_2,1,2008/10/15,15,1,0,0,81.98266667
